code_asset,id_item,id_shop,id_cabang,id_category_asset,id_unit,asset_name,nilai_buku,status,timestamp,user_update,keterangan
PLBK/OFWTW/NN,483,2388,0,5,24,OIL FILTER WRENCH TWO WAY,0,Active,11/23/2018 11:20,0,\N
PLBK/OFWTW/KTC,484,2388,0,5,24,OIL FILTER WRENCH TWO WAY KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/OFWTW/TEKIRO,485,2388,0,5,24,OIL FILTER WRENCH TWO WAY TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/OIFCH/TEKIRO,486,2388,0,5,24,OIL FILTER WRENCH CHAIN,0,Active,11/23/2018 11:20,0,\N
PLBK/OFWCH/KTC,487,2388,0,5,24,OIL FILTER WRENCH CHAIN KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/OIFBL/TEKIRO,488,2388,0,5,24,OIL FILTER WRENCH BELT,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/NN/SET,489,2388,0,5,24,OIL FILTER BOWL,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/TEKIRO/47,490,2388,0,5,24,OIL FILTER BOWL 47 TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/TEKIRO/49,491,2388,0,5,24,OIL FILTER BOWL 49 TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/NN/63,492,2388,0,5,24,OIL FILTER BOWL 63,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/NN/65.5,493,2388,0,5,24,"OIL FILTER BOWL 65,5",0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/NN/72,494,2388,0,5,24,OIL FILTER BOWL 72,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/NN/66,495,2388,0,5,24,OIL FILTER BOWL 66,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/NN/74,496,2388,0,5,24,OIL FILTER BOWL 74,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/NN/79,497,2388,0,5,24,OIL FILTER BOWL 79,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/KTC/79,498,2388,0,5,24,OIL FILTER BOWL 79 KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/NN/79.5,499,2388,0,5,24,"OIL FILTER BOWL 79,5",0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/NN/89,500,2388,0,5,24,OIL FILTER BOWL 89,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/NN/92,501,2388,0,5,24,OIL FILTER BOWL 92,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/KTC/79,502,2388,0,5,24,OIL FILTER BOWL 92 KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/NN/94.5,503,2388,0,5,24,"OIL FILTER BOWL 94,5",0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/NN/99,504,2388,0,5,24,OIL FILTER BOWL 99,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/KTC/SET,505,2388,0,5,24,OIL FILTER BOWL KTC,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/TEKIRO/SE,506,2388,0,5,24,OIL FILTER BOWL TEKIRO,0,Active,11/23/2018 11:20,0,\N
PLBK/OFBWL/WOLFSHEAD,507,2388,0,5,24,OIL FILTER BOWL WOLFS HEAD,0,Active,11/23/2018 11:20,0,\N
